2024-04-08 20:16:35 status half-installed libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:36 status unpacked libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:36 install libdatetime-timezone-perl:all <none> 1:2.60-1+2024a
2024-04-08 20:16:36 status half-installed libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:36 status unpacked libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:36 install libdatetime-perl:amd64 <none> 2:1.59-1
2024-04-08 20:16:36 status half-installed libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:36 status unpacked libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:36 startup packages configure
2024-04-08 20:16:36 configure perl-modules-5.36:all 5.36.0-7+deb12u1 <none>
2024-04-08 20:16:36 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:36 status half-configured perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:36 status installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:37 configure libgdbm6:amd64 1.23-3 <none>
2024-04-08 20:16:37 status unpacked libgdbm6:amd64 1.23-3
2024-04-08 20:16:37 status half-configured libgdbm6:amd64 1.23-3
2024-04-08 20:16:37 status installed libgdbm6:amd64 1.23-3
2024-04-08 20:16:37 configure libgdbm-compat4:amd64 1.23-3 <none>
2024-04-08 20:16:37 status unpacked libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:37 status half-configured libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:37 status installed libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:37 configure libperl5.36:amd64 5.36.0-7+deb12u1 <none>
2024-04-08 20:16:37 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status half-configured libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 configure perl:amd64 5.36.0-7+deb12u1 <none>
2024-04-08 20:16:37 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status half-configured perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status installed perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 configure libclass-data-inheritable-perl:all 0.08-3 <none>
2024-04-08 20:16:37 status unpacked libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:37 status half-configured libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:37 status installed libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:37 configure libalgorithm-c3-perl:all 0.11-2 <none>
2024-04-08 20:16:37 status unpacked libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:37 status half-configured libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:37 status installed libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:37 configure libvariable-magic-perl:amd64 0.63-1+b1 <none>
2024-04-08 20:16:37 status unpacked libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:37 status half-configured libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:37 status installed libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:37 configure libb-hooks-op-check-perl:amd64 0.22-2+b1 <none>
2024-04-08 20:16:37 status unpacked libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:37 status half-configured libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:37 status installed libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:37 configure libparams-util-perl:amd64 1.102-2+b1 <none>
2024-04-08 20:16:37 status unpacked libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:37 status half-configured libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:37 status installed libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:37 configure libsub-exporter-progressive-perl:all 0.001013-3 <none>
2024-04-08 20:16:37 status unpacked libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:37 status half-configured libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:37 status installed libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:37 configure libsub-name-perl:amd64 0.26-2+b1 <none>
2024-04-08 20:16:37 status unpacked libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:37 status half-configured libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:37 status installed libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:37 configure libsub-quote-perl:all 2.006008-1 <none>
2024-04-08 20:16:37 status unpacked libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:37 status half-configured libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:37 status installed libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:37 configure libdevel-stacktrace-perl:all 2.0400-2 <none>
2024-04-08 20:16:37 status unpacked libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:37 status half-configured libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:38 status installed libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:38 configure libclass-inspector-perl:all 1.36-3 <none>
2024-04-08 20:16:38 status unpacked libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:38 status half-configured libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:38 status installed libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:38 configure libdynaloader-functions-perl:all 0.003-3 <none>
2024-04-08 20:16:38 status unpacked libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:38 status half-configured libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:38 status installed libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:38 configure libclass-method-modifiers-perl:all 2.14-1 <none>
2024-04-08 20:16:38 status unpacked libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:38 status half-configured libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:38 status installed libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:38 configure libsub-identify-perl:amd64 0.14-3 <none>
2024-04-08 20:16:38 status unpacked libsub-identify-perl:amd64 0.14-3
2024-04-08 20:16:38 status half-configured libsub-identify-perl:amd64 0.14-3
2024-04-08 20:16:38 status installed libsub-identify-perl:amd64 0.14-3
2024-04-08 20:16:38 configure libtry-tiny-perl:all 0.31-2 <none>
2024-04-08 20:16:38 status unpacked libtry-tiny-perl:all 0.31-2
2024-04-08 20:16:38 status half-configured libtry-tiny-perl:all 0.31-2
2024-04-08 20:16:38 status installed libtry-tiny-perl:all 0.31-2
2024-04-08 20:16:38 configure libclass-singleton-perl:all 1.6-2 <none>
2024-04-08 20:16:38 status unpacked libclass-singleton-perl:all 1.6-2
2024-04-08 20:16:38 status half-configured libclass-singleton-perl:all 1.6-2
2024-04-08 20:16:38 status installed libclass-singleton-perl:all 1.6-2
2024-04-08 20:16:38 configure libexception-class-perl:all 1.45-1 <none>
2024-04-08 20:16:38 status unpacked libexception-class-perl:all 1.45-1
2024-04-08 20:16:38 status half-configured libexception-class-perl:all 1.45-1
2024-04-08 20:16:38 status installed libexception-class-perl:all 1.45-1
2024-04-08 20:16:38 configure libclass-c3-perl:all 0.35-2 <none>
2024-04-08 20:16:38 status unpacked libclass-c3-perl:all 0.35-2
2024-04-08 20:16:38 status half-configured libclass-c3-perl:all 0.35-2
2024-04-08 20:16:38 status installed libclass-c3-perl:all 0.35-2
2024-04-08 20:16:38 configure libxstring-perl:amd64 0.005-2+b1 <none>
2024-04-08 20:16:38 status unpacked libxstring-perl:amd64 0.005-2+b1
2024-04-08 20:16:38 status half-configured libxstring-perl:amd64 0.005-2+b1
2024-04-08 20:16:38 status installed libxstring-perl:amd64 0.005-2+b1
2024-04-08 20:16:38 configure libdevel-callchecker-perl:amd64 0.008-2 <none>
2024-04-08 20:16:38 status unpacked libdevel-callchecker-perl:amd64 0.008-2
2024-04-08 20:16:38 status half-configured libdevel-callchecker-perl:amd64 0.008-2
2024-04-08 20:16:38 status installed libdevel-callchecker-perl:amd64 0.008-2
2024-04-08 20:16:38 configure libsub-install-perl:all 0.929-1 <none>
2024-04-08 20:16:38 status unpacked libsub-install-perl:all 0.929-1
2024-04-08 20:16:38 status half-configured libsub-install-perl:all 0.929-1
2024-04-08 20:16:38 status installed libsub-install-perl:all 0.929-1
2024-04-08 20:16:38 configure libdata-optlist-perl:all 0.113-1 <none>
2024-04-08 20:16:38 status unpacked libdata-optlist-perl:all 0.113-1
2024-04-08 20:16:38 status half-configured libdata-optlist-perl:all 0.113-1
2024-04-08 20:16:38 status installed libdata-optlist-perl:all 0.113-1
2024-04-08 20:16:38 configure librole-tiny-perl:all 2.002004-1 <none>
2024-04-08 20:16:38 status unpacked librole-tiny-perl:all 2.002004-1
2024-04-08 20:16:38 status half-configured librole-tiny-perl:all 2.002004-1
2024-04-08 20:16:38 status installed librole-tiny-perl:all 2.002004-1
2024-04-08 20:16:38 configure libfile-sharedir-perl:all 1.118-3 <none>
2024-04-08 20:16:38 status unpacked libfile-sharedir-perl:all 1.118-3
2024-04-08 20:16:39 status half-configured libfile-sharedir-perl:all 1.118-3
2024-04-08 20:16:39 status installed libfile-sharedir-perl:all 1.118-3
2024-04-08 20:16:39 configure libmro-compat-perl:all 0.15-2 <none>
2024-04-08 20:16:39 status unpacked libmro-compat-perl:all 0.15-2
2024-04-08 20:16:39 status half-configured libmro-compat-perl:all 0.15-2
2024-04-08 20:16:39 status installed libmro-compat-perl:all 0.15-2
2024-04-08 20:16:39 configure libsub-exporter-perl:all 0.989-1 <none>
2024-04-08 20:16:39 status unpacked libsub-exporter-perl:all 0.989-1
2024-04-08 20:16:39 status half-configured libsub-exporter-perl:all 0.989-1
2024-04-08 20:16:39 status installed libsub-exporter-perl:all 0.989-1
2024-04-08 20:16:39 configure libeval-closure-perl:all 0.14-3 <none>
2024-04-08 20:16:39 status unpacked libeval-closure-perl:all 0.14-3
2024-04-08 20:16:39 status half-configured libeval-closure-perl:all 0.14-3
2024-04-08 20:16:39 status installed libeval-closure-perl:all 0.14-3
2024-04-08 20:16:39 configure libparams-validationcompiler-perl:all 0.31-1 <none>
2024-04-08 20:16:39 status unpacked libparams-validationcompiler-perl:all 0.31-1
2024-04-08 20:16:39 status half-configured libparams-validationcompiler-perl:all 0.31-1
2024-04-08 20:16:39 status installed libparams-validationcompiler-perl:all 0.31-1
2024-04-08 20:16:39 configure libparams-classify-perl:amd64 0.015-2+b1 <none>
2024-04-08 20:16:39 status unpacked libparams-classify-perl:amd64 0.015-2+b1
2024-04-08 20:16:39 status half-configured libparams-classify-perl:amd64 0.015-2+b1
2024-04-08 20:16:39 status installed libparams-classify-perl:amd64 0.015-2+b1
2024-04-08 20:16:39 configure libmodule-runtime-perl:all 0.016-2 <none>
2024-04-08 20:16:39 status unpacked libmodule-runtime-perl:all 0.016-2
2024-04-08 20:16:39 status half-configured libmodule-runtime-perl:all 0.016-2
2024-04-08 20:16:39 status installed libmodule-runtime-perl:all 0.016-2
2024-04-08 20:16:39 configure libmodule-implementation-perl:all 0.09-2 <none>
2024-04-08 20:16:39 status unpacked libmodule-implementation-perl:all 0.09-2
2024-04-08 20:16:39 status half-configured libmodule-implementation-perl:all 0.09-2
2024-04-08 20:16:39 status installed libmodule-implementation-perl:all 0.09-2
2024-04-08 20:16:39 configure libpackage-stash-perl:all 0.40-1 <none>
2024-04-08 20:16:39 status unpacked libpackage-stash-perl:all 0.40-1
2024-04-08 20:16:39 status half-configured libpackage-stash-perl:all 0.40-1
2024-04-08 20:16:39 status installed libpackage-stash-perl:all 0.40-1
2024-04-08 20:16:39 configure libspecio-perl:all 0.48-1 <none>
2024-04-08 20:16:39 status unpacked libspecio-perl:all 0.48-1
2024-04-08 20:16:39 status half-configured libspecio-perl:all 0.48-1
2024-04-08 20:16:39 status installed libspecio-perl:all 0.48-1
2024-04-08 20:16:39 configure libb-hooks-endofscope-perl:all 0.26-1 <none>
2024-04-08 20:16:39 status unpacked libb-hooks-endofscope-perl:all 0.26-1
2024-04-08 20:16:39 status half-configured libb-hooks-endofscope-perl:all 0.26-1
2024-04-08 20:16:39 status installed libb-hooks-endofscope-perl:all 0.26-1
